0	1	
1	2	0
2	4	0
6	8	0
8	16	0
24	32	0
40	64	0
104	128	0
128	256	1
384	512	1
640	1024	3
1664	2048	3
2176	4096	15
6272	8192	15
10368	16384	47
26752	32768	47
32768	65536	256
98304	131072	256
163840	262144	768
425984	524288	768
557056	1048576	3840
1605632	2097152	3840
2654208	4194304	12032
6848512	8388608	12032
8421376	16777216	65280
25198592	33554432	65280
41975808	67108864	196352
109084672	134217728	196352
142639104	268435456	982784
411074560	536870912	982784
679510016	1073741824	3079936
